Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
1022,501,V,NewOrleans,30,31,25,31,122,231.5,229.5,230,113
1022,502,H,Toronto,27,29,32,29,130,6.5,6.5,-280,6
1022,503,V,LALakers,25,29,31,17,102,227,3.5,-180,5
1022,504,H,LAClippers,22,40,23,27,112,1.5,224,150,110.5
1023,505,V,Detroit,27,27,29,36,119,210,211,240,104
1023,506,H,Indiana,24,31,31,24,110,5,7,-300,4.5
1023,507,V,Cleveland,24,17,24,20,85,212.5,211.5,400,108
1023,508,H,Orlando,28,27,16,23,94,7.5,9.5,-550,1
1023,509,V,Chicago,28,27,40,30,125,1.5,3.5,-170,4
1023,510,H,Charlotte,37,26,33,30,126,218.5,216.5,145,112
1023,511,V,Boston,25,23,20,25,93,215,214.5,190,110.5
1023,512,H,Philadelphia,20,29,28,30,107,6,5.5,-240,3.5
1023,513,V,Memphis,32,28,24,17,101,210.5,213,240,104.5
1023,514,H,Miami,24,30,29,37,120,7.5,6.5,-300,4.5
1023,515,V,Minnesota,33,35,20,27,127,225.5,229,142,112.5
1023,516,H,Brooklyn,22,34,37,22,126,5,3.5,-165,5
1023,517,V,NewYork,15,36,33,27,111,214,214.5,525,104.5
1023,518,H,SanAntonio,22,37,24,37,120,9.5,11,-750,3.5
1023,519,V,Washington,25,23,20,32,100,223,220,350,105.5
1023,520,H,Dallas,24,38,29,17,108,8.5,9,-450,1
1023,521,V,OklahomaCity,12,34,28,21,95,222,221.5,375,107
1023,522,H,Utah,23,26,19,32,100,9.5,9,-500,4.5
1023,523,V,Sacramento,29,30,17,19,95,2.5,1,-115,114
1023,524,H,Phoenix,25,29,32,38,124,233,232.5,-105,2
1023,525,V,Denver,24,30,19,35,108,219.5,1.5,-120,106
1023,526,H,Portland,27,23,24,26,100,2.5,217.5,100,1
1024,527,V,Atlanta,38,22,31,26,117,222,221.5,105,110
1024,528,H,Detroit,32,31,18,19,100,1.5,1.5,-125,pk
1024,529,V,Milwaukee,23,27,28,39,117,231.5,231,100,4.5
1024,530,H,Houston,30,36,21,24,111,2,1.5,-120,117.5
1024,531,V,LAClippers,35,30,46,30,141,225,229.5,-110,110.5
1024,532,H,GoldenState,29,25,33,35,122,pk,pk,-110,2
